region,xh5,xi1,_v23,_v176,_v181,_v145,wage,education,experience,has_wage,gender,unempl_wage
9,2,2,NA,5,NA,3,NA,3,5,NA,2,NA
9,2,2,NA,21,NA,3,NA,3,21,NA,2,NA
9,2,2,22000,31,NA,6,22000,6,31,0,2,NA
9,1,2,NA,99999997,50000,11,NA,11,99999997,NA,1,50000
9,1,2,NA,99999997,NA,5,NA,5,99999997,NA,1,NA
9,2,1,NA,44,NA,2,NA,2,44,NA,2,NA
9,2,1,NA,51,NA,6,NA,6,51,NA,2,NA
9,2,2,NA,NA,NA,1,NA,1,NA,NA,2,NA
9,2,2,NA,1,NA,6,NA,6,1,NA,2,NA
9,1,1,20000,99999996,NA,2,20000,2,99999996,0,1,NA
9,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
9,2,2,NA,14,NA,6,NA,6,14,NA,2,NA
9,1,2,40000,11,NA,6,40000,6,11,0,1,NA
9,2,2,NA,28,NA,2,NA,2,28,NA,2,NA
9,1,2,25000,9,NA,10,25000,10,9,0,1,NA
9,1,2,NA,11,NA,1,NA,1,11,NA,1,NA
9,2,1,NA,17,NA,4,NA,4,17,NA,2,NA
9,1,1,NA,40,NA,3,NA,3,40,NA,1,NA
9,2,2,NA,48,NA,10,NA,10,48,NA,2,NA
9,2,2,25000,31,NA,10,25000,10,31,0,2,NA
9,1,2,80000,31,NA,10,80000,10,31,0,1,NA
9,2,2,25000,0,NA,12,25000,12,0,0,2,NA
9,2,2,25000,1,NA,10,25000,10,1,0,2,NA
9,1,2,NA,14,NA,10,NA,10,14,NA,1,NA
9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
9,1,2,25000,6,NA,10,25000,10,6,0,1,NA
9,1,2,NA,16,NA,4,NA,4,16,NA,1,NA
9,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
9,1,1,NA,8,NA,10,NA,10,8,NA,1,NA
9,2,2,20000,25,NA,10,20000,10,25,0,2,NA
9,2,1,NA,48,NA,5,NA,5,48,NA,2,NA
9,1,1,NA,99999997,NA,10,NA,10,99999997,NA,1,NA
9,1,2,50000,27,NA,10,50000,10,27,0,1,NA
9,1,1,15000,99999997,NA,1,15000,1,99999997,0,1,NA
9,2,1,NA,32,NA,6,NA,6,32,NA,2,NA
9,1,2,NA,NA,NA,1,NA,1,NA,NA,1,NA
9,1,2,55000,99999997,NA,10,55000,10,99999997,0,1,NA
9,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
9,2,1,30000,99999997,NA,11,30000,11,99999997,0,2,NA
9,2,2,NA,0,NA,1,NA,1,0,NA,2,NA
9,1,2,12000,99999997,40000,10,12000,10,99999997,0,1,40000
9,1,2,NA,0,NA,2,NA,2,0,NA,1,NA
9,2,1,NA,46,NA,6,NA,6,46,NA,2,NA
9,2,2,18000,32,NA,6,18000,6,32,0,2,NA
9,2,1,NA,39,NA,1,NA,1,39,NA,2,NA
