region,gender,relocated,wage,experience,education,age,other_work,health,marital_status,pension,power_ladder,wealth_ladder,NCAT1,NCAT2,NCAT3,NCAT4,NCAT5,NCAT6,total_hh_income,has_wage
1,2,1,0,NA,NA,6,NA,2,NA,NA,NA,NA,2,0,0,3,0,0,45050,FALSE
1,2,1,0,NA,NA,1,NA,2,NA,NA,NA,NA,2,0,0,3,0,0,45050,FALSE
1,2,1,0,24,6,47,2,4,4,1,4,3,2,0,0,3,0,0,45050,FALSE
1,2,1,25000,9,5,28,2,3,1,2,3,3,2,0,0,3,0,0,45050,TRUE
1,2,1,35000,18,10,38,2,3,2,2,6,5,0,2,2,1,0,0,76800,TRUE
1,1,1,0,NA,1,18,2,3,1,2,5,3,0,2,2,1,0,0,76800,FALSE
1,1,1,0,99999997,3,33,2,2,2,2,6,5,0,2,2,1,0,0,76800,FALSE
1,2,2,30000,99999997,10,41,2,3,2,2,4,3,2,3,1,1,0,1,77065.88,TRUE
1,1,2,0,NA,NA,2,NA,2,NA,NA,NA,NA,2,3,1,1,0,1,77065.88,FALSE
1,2,2,0,NA,NA,1,NA,2,NA,NA,NA,NA,2,3,1,1,0,1,77065.88,FALSE
1,2,2,0,NA,1,16,2,2,1,2,99999997,3,2,3,1,1,0,1,77065.88,FALSE
1,2,1,0,31,4,61,2,4,4,1,4,2,2,3,1,1,0,1,77065.88,FALSE
1,1,1,16000,99999997,1,39,2,2,2,2,4,2,2,3,1,1,0,1,77065.88,TRUE
1,2,1,0,NA,1,15,2,2,1,2,99999997,2,2,3,1,1,0,1,77065.88,FALSE
1,2,2,14000,37,6,55,2,4,4,1,5,4,0,0,0,2,0,1,133190,TRUE
1,2,2,25000,0,3,20,2,2,1,2,5,5,0,0,0,2,0,1,133190,TRUE
1,2,1,30000,35,6,55,1,3,1,1,5,5,0,0,0,2,0,1,133190,TRUE
1,1,1,0,20,10,46,2,3,2,2,5,5,0,1,2,1,0,0,103618.35,FALSE
1,1,2,0,NA,2,21,2,2,1,2,6,5,0,1,2,1,0,0,103618.35,FALSE
1,2,2,50000,24,10,47,2,2,2,2,7,5,0,1,2,1,0,0,103618.35,TRUE
1,1,1,23000,33,6,58,2,2,2,2,5,4,0,0,2,0,0,1,102699.84,TRUE
1,1,2,25000,3,10,25,2,2,1,2,6,4,0,0,2,0,0,1,102699.84,TRUE
1,2,2,35000,36,10,57,2,3,2,1,5,99999997,0,0,2,0,0,1,102699.84,TRUE
1,2,1,0,32,10,56,2,3,2,1,7,7,0,0,1,0,0,1,64100.39,FALSE
1,1,1,0,32,10,57,2,3,2,2,6,6,0,0,1,0,0,1,64100.39,FALSE
1,2,1,0,44,10,62,2,3,2,1,6,6,0,0,0,0,1,1,93119.49,FALSE
1,1,1,30000,48,3,63,2,3,2,1,5,5,0,0,0,0,1,1,93119.49,TRUE
1,1,1,0,8,3,33,2,3,1,2,3,4,0,0,2,0,0,1,73700,FALSE
1,2,1,35000,39,4,59,2,3,3,1,5,4,0,0,2,0,0,1,73700,TRUE
1,1,1,0,25,6,55,2,4,2,1,4,4,0,0,2,0,0,1,73700,FALSE
1,1,1,0,99999997,1,89,2,4,3,1,1,1,0,0,0,0,2,2,43000,FALSE
1,2,1,0,99999997,1,84,2,4,3,1,2,2,0,0,0,0,2,2,43000,FALSE
1,2,1,0,44,1,69,2,3,3,1,2,2,0,0,0,0,2,2,43000,FALSE
1,1,1,0,28,1,64,2,3,3,1,2,2,0,0,0,0,2,2,43000,FALSE
1,2,1,0,42,10,65,2,4,5,1,3,3,0,0,0,0,0,1,17428,FALSE
1,1,1,35000,30,4,58,2,2,2,2,5,6,0,0,1,0,0,1,61847.08,TRUE
1,2,1,0,32,4,57,2,3,2,1,5,5,0,0,1,0,0,1,61847.08,FALSE
1,2,1,0,5,5,38,2,2,2,2,4,2,1,0,1,1,0,0,42062.68,FALSE
1,1,1,0,NA,NA,6,NA,1,NA,NA,NA,NA,1,0,1,1,0,0,42062.68,FALSE
1,1,1,25000,15,3,34,2,2,2,2,4,4,1,0,1,1,0,0,42062.68,TRUE
1,2,1,0,35,6,57,2,3,5,1,5,5,0,0,0,0,0,1,19892.47,FALSE
1,2,1,15000,48,3,66,2,3,2,1,4,6,0,0,0,0,1,1,44079.17,TRUE
1,1,1,0,36,5,68,2,4,2,1,5,5,0,0,0,0,1,1,44079.17,FALSE
1,2,1,0,99999997,10,64,2,5,2,1,2,2,0,0,0,0,1,1,69985,FALSE
1,1,1,0,46,5,62,2,5,2,1,2,2,0,0,0,0,1,1,69985,FALSE
1,2,1,18000,39,6,58,2,2,5,1,3,3,0,0,0,0,0,1,17366.71,TRUE
1,2,2,30000,13,10,32,2,3,2,2,3,3,2,0,1,1,0,0,80000,TRUE
1,1,1,0,5,5,32,2,3,2,2,3,3,2,0,1,1,0,0,80000,FALSE
1,2,1,0,NA,NA,2,NA,1,NA,NA,NA,NA,2,0,1,1,0,0,80000,FALSE
1,2,1,0,NA,NA,4,NA,1,NA,NA,NA,NA,2,0,1,1,0,0,80000,FALSE
1,2,1,6000,33,6,59,2,3,2,1,4,2,0,0,0,0,1,1,41254.13,TRUE
1,1,1,13000,40,6,62,2,3,2,1,3,3,0,0,0,0,1,1,41254.13,TRUE
1,2,1,0,36,5,64,2,3,2,1,5,5,0,0,0,0,1,1,81855.01,FALSE
1,1,2,0,40,4,67,2,3,2,1,5,6,0,0,0,0,1,1,81855.01,FALSE
1,1,1,0,31,6,65,2,3,2,1,4,4,0,0,0,0,1,1,28183.65,FALSE
1,2,1,0,35,6,61,2,3,2,1,5,5,0,0,0,0,1,1,28183.65,FALSE
1,2,1,0,25,5,50,2,4,4,2,2,2,0,0,0,1,0,0,7087.25,FALSE
1,2,1,0,39,2,82,2,3,5,1,2,2,0,0,0,0,0,1,18611.04,FALSE
1,2,1,0,27,6,68,2,3,5,1,3,4,0,0,0,0,0,1,18452.79,FALSE
1,2,1,0,35,1,81,2,4,5,1,2,3,0,0,0,0,0,1,18139.92,FALSE
1,2,1,45000,31,10,48,2,3,2,2,5,5,0,0,1,1,0,0,105000,TRUE
1,1,1,55000,26,5,45,2,3,2,2,5,5,0,0,1,1,0,0,105000,TRUE
1,2,1,45000,24,10,40,2,2,4,2,5,5,0,1,0,1,0,0,52000,TRUE
1,2,1,0,10,6,41,2,3,5,1,4,3,0,0,0,1,0,0,18300,FALSE
1,2,1,0,NA,NA,0,NA,2,NA,NA,NA,NA,1,1,0,1,0,0,29960,FALSE
1,1,2,0,NA,1,16,2,2,1,1,4,3,1,1,0,1,0,0,29960,FALSE
1,2,2,12900,19,11,38,2,2,5,2,3,3,1,1,0,1,0,0,29960,TRUE
1,2,1,0,NA,2,18,2,2,1,2,3,3,0,1,0,2,0,0,20000,FALSE
1,2,1,19000,17,11,37,2,2,4,2,4,4,0,1,0,2,0,0,20000,TRUE
1,2,2,25000,1,5,35,2,3,2,2,5,4,0,2,1,1,0,0,73500,TRUE
1,1,2,41000,20,11,38,2,2,2,2,6,3,0,2,1,1,0,0,73500,TRUE
1,2,1,0,18,5,63,2,3,5,1,4,4,0,0,1,0,0,1,25100,FALSE
1,1,2,0,10,5,31,1,2,1,2,2,2,0,0,1,0,0,1,25100,FALSE
1,1,1,65000,12,4,31,2,3,2,2,2,3,1,0,1,1,0,0,101500,TRUE
1,2,1,30000,10,2,30,2,2,2,2,5,7,1,0,1,1,0,0,101500,TRUE
1,2,1,0,NA,NA,4,NA,2,NA,NA,NA,NA,1,0,1,1,0,0,101500,FALSE
1,2,1,0,6,6,38,2,3,2,2,4,4,2,1,1,1,0,1,96669.64,FALSE
1,1,1,50000,99999997,3,43,2,3,2,2,3,3,2,1,1,1,0,1,96669.64,TRUE
